

【央视频道】,#genre#
遥控操作说明,http://cloud.video.taobao.com/play/u/null/p/1/e/6/t/1/496863192271.mp4
CCTV-1,https://migu.bxtv.587788.xyz/migu/608807420.m3u8?migutoken=c1e47192e21ebd32f0cc762a6749923a27468f3c407786209ce921f54a3faab96bf61281f3baee22f2ea266b1ec7e46d7bdfab0916f461bf38474fe38d0bdb2dcc56ee56853b8d6c509d866d80
CCTV-1,http://tv.20191209.xyz:37377/migu/608807420.m3u8?migutoken=004b385f879c68b1898b3b528c53ce2cc69a05fc6ccef397d5ff725950f98cc37983a6c0565ab535a964de0b80663b3a394fd8a43c51d0547d2e232162525de45bdb07292d1fc1944aea97f0
CCTV-1,http://39.134.18.196/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8
CCTV-1,http://8.138.7.223/tv/dl/douyincdn.php?id=1
CCTV-1,http://tvh.990066.xyz/stream/channelid/267738118?profile=pass
CCTV-1,http://39.170.52.236:808/hls/1/index.m3u8
CCTV-1,http://116.128.243.121:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1,rtsp://180.95.143.19/PLTV/88888910/224/3221225567/10000100000000060000000000107347_0.smil
CCTV-1,http://kr.s5752.com:50001/TVOD/6000000001000029752/wasusyt/index.m3u8?ace
CCTV-1,http://kr.s5752.com:50001/TVOD/1000000001000018602/ystenlive/index.m3u8?ace
CCTV-1,http://kr.s5752.com:50001/TVOD/5000000004000002226/bestzb/index.m3u8?ace
CCTV-1,http://kr.s5752.com:50001/TVOD/1000000005000265001/ystenlive/index.m3u8?ace
CCTV-1,http://kr.s5752.com:50001/TVOD/5000000010000030810/bestzb/index.m3u8?ace
CCTV-1,http://kr.s5752.com:50001/TVOD/1000000001000021973/ystenlive/index.m3u8?ace
CCTV-1,http://b.zgjok.com:35455/itv/6000000001000029752.m3u8?cdn=wasusyt&Contentid=6000000001000029752
CCTV-1,http://b.zgjok.com:35455/itv/5000000004000002226.m3u8?cdn=bestzb&Contentid=5000000004000002226
CCTV-1,http://b.zgjok.com:35455/itv/1000000005000265001.m3u8?cdn=ystenlive&Contentid=1000000005000265001
CCTV-2,https://migu.bxtv.587788.xyz/migu/631780532.m3u8?migutoken=f37996961dda807c76bd64f9a2747f07f7fd95917e411e96a40281fd628bc4000eb7f71344d3bca848bfba138c3988d53652cdbc6fc8225515f1c0e1ea6c8920e7d1e957628a334e765280cc07
CCTV-2,http://tv.20191209.xyz:37377/migu/631780532.m3u8?migutoken=862217ff2cffee0a741039e700509cb8f9a8b1920fe6cee55afb89ef1551eba3ecc744e93cf8e52cd8b4bf1a27c7a074745b640058072bfa4ad145917cdeb959261218d7b78174684a74ae78
CCTV-2,http://39.134.18.196/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV-2,http://8.138.7.223/tv/dl/douyincdn.php?id=2
CCTV-2,http://tvh.990066.xyz/stream/channelid/1667775686?profile=pass
CCTV-2,http://39.170.52.236:808/hls/2/index.m3u8
CCTV-2,http://116.128.243.121:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2,rtsp://180.95.143.19/PLTV/88888910/224/3221225568/10000100000000060000000000107348_0.smil
CCTV-2,http://kr.s5752.com:50001/TVOD/6000000001000014161/wasusyt/index.m3u8?ace
CCTV-2,http://kr.s5752.com:50001/TVOD/1000000001000023315/ystenlive/index.m3u8?ace
CCTV-2,http://kr.s5752.com:50001/TVOD/5000000011000031101/bestzb/index.m3u8?ace
CCTV-2,http://kr.s5752.com:50001/TVOD/1000000005000265002/ystenlive/index.m3u8?ace
CCTV-2,http://kr.s5752.com:50001/TVOD/1000000001000012442/ystenlive/index.m3u8?ace
CCTV-2,http://b.zgjok.com:35455/itv/1000000001000023315.m3u8?cdn=ystenlive&Contentid=1000000001000023315
